Block Type,384-Well Block,,
Calibration Background is expired,Yes,,
Calibration Background performed on,05-01-2018,,
Calibration Normalization FAM-ROX is expired,Yes,,
Calibration Normalization FAM-ROX performed on,05-01-2018,,
Calibration Normalization VIC-ROX is expired,Yes,,
Calibration Normalization VIC-ROX performed on,05-01-2018,,
Calibration Pure Dye FAM is expired,Yes,,
Calibration Pure Dye FAM performed on,05-01-2018,,
Calibration Pure Dye NED is expired,Yes,,
Calibration Pure Dye NED performed on,05-01-2018,,
Calibration Pure Dye ROX is expired,Yes,,
Calibration Pure Dye ROX performed on,05-01-2018,,
Calibration Pure Dye SYBR is expired,Yes,,
Calibration Pure Dye SYBR performed on,05-01-2018,,
Calibration Pure Dye TAMRA is expired,Yes,,
Calibration Pure Dye TAMRA performed on,05-01-2018,,
Calibration Pure Dye VIC is expired,Yes,,
Calibration Pure Dye VIC performed on,05-01-2018,,
Calibration ROI is expired,Yes,,
Calibration ROI performed on,05-01-2018,,
Calibration Uniformity is expired,Yes,,
Calibration Uniformity performed on,05-01-2018,,
Chemistry,SYBR_GREEN,,
Date Created,2019-04-16 12:48:55 PM EDT,,
Experiment Barcode,,,
Experiment Comment,,,
Experiment File Name,C:\Users\trsheph\Desktop\2019-04-16 124851.eds,,
Experiment Name,2019-04-16 124851,,
Experiment Run End Time,2019-04-16 14:33:36 PM EDT,,
Experiment Type,Standard Curve,,
Instrument Name,278861402,,
Instrument Serial Number,278861402,,
Instrument Type,QuantStudio(TM) 6 Flex System,,
Passive Reference,ROX,,
Quantification Cycle Method,Ct,,
Signal Smoothing On,true,,
Stage/ Cycle where Analysis is performed,"Stage 2, Step 2",,
User Name,,,
,,,
Well,Well Position,Sample Name,Target Name
1,A1,100fg,airplane
2,A2,1pg,airplane
3,A3,10pg,airplane
4,A4,Cat+MAG,airplane
5,A5,Cat-MAG,airplane
6,A6,Dog+MAG,airplane
7,A7,100fg,apple
8,A8,1pg,apple
9,A9,10pg,apple
10,A10,Cat+MAG,apple
11,A11,Cat-MAG,apple
12,A12,Dog+MAG,apple
13,A13,100fg,banana
